,backup_kusto_test,end_time,failover_kusto_test,loss,max_log_rate,,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes,
,,,,,,,,,,,,,
0,3.499983333,6/19/2019 1:39,"(0.0, 0.20971689570558855)",203819.4,59374050,56.62350655,965,0.019,9279,6/19/2019 0:56,203819.4,443800,433.3984375
,,,,,,0,,,,,,,0
1,2.993,6/19/2019 1:47,"(0.0016741071428571428, 0.10260379777608156)",160864.6667,66393340,63.31762314,865,0.026,9280,6/19/2019 1:05,160864.6667,461900,451.0742188
,,,,,,0,,,,,,,0
2,3.000016667,6/19/2019 2:01,"(0.0, 0.12106028020151387)",189072.3667,66743440,63.65150452,720,0.021,9281,6/19/2019 1:18,189072.3667,395500,386.2304688
,,,,,,0,,,,,,,0
3,3.50465,6/19/2019 2:02,"(1.8924479166666666, 1.6780824303712973)",67777.95228,43056010,41.0614109,780,0.018,9282,6/19/2019 1:19,210544.4333,282400,275.78125
,,,,,,0,,,,,,,0
4,3.500516667,6/19/2019 4:12,"(0.0, 0.22794632270198079)",202872.4333,118844940,113.3393669,1025,0.019,9283,6/19/2019 3:30,202872.4333,334800,326.953125
,,,,,,0,,,,,,,0
5,3.000266667,6/19/2019 4:33,"(0.0, 0.11702033301874651)",181186.6667,115694210,110.3345966,235,0.021,9284,6/19/2019 3:51,181186.6667,418400,408.59375
,,,,,,0,,,,,,,0
6,2.500016667,6/19/2019 4:53,"(0.001583614864864865, 0.12544241233864165)",188224.9,57948410,55.26391029,620,0.021,9285,6/19/2019 4:11,188224.9,339900,331.9335938
,,,,,,0,,,,,,,0
7,4,6/19/2019 5:05,"(0.0, 2.635248465804186)",0,42642770,40.66731453,1010,0.022,9286,6/19/2019 4:23,187853.9,30400,29.6875
,,,,,,0,,,,,,,0
8,3.000266667,6/19/2019 6:50,"(0.0013950892857142857, 0.2930118716430582)",203495.2667,61467490,58.61996651,130,0.019,9287,6/19/2019 6:07,203495.2667,282200,275.5859375
,,,,,,0,,,,,,,0
9,3.000016667,6/19/2019 7:18,"(0.0, 0.20747802708689345)",178563.6667,88947140,84.82660294,375,0.022,9288,6/19/2019 6:35,178563.6667,413100,403.4179688
,,,,,,0,,,,,,,0
10,3.000533333,6/19/2019 7:39,"(0.0, 0.1775660223079335)",188514.8333,33987030,32.4125576,425,0.021,9289,6/19/2019 6:56,188514.8333,298300,291.3085938
,,,,,,0,,,,,,,0
11,3.50755,6/19/2019 7:58,"(0.0, 7.185235805869713)",0,110765900,105.634594,980,0.019,9290,6/19/2019 7:16,210375.2333,216300,211.2304688
