,backup_kusto_test,end_time,failover_kusto_test,loss,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
0,3.0000166666666668,2019-06-20 09:41:15,"(0.0, 0.2458014058325185)",187464.5,59084960.0,970,0.021,9324,2019-06-20 08:59:15,187464.5,427900
1,3.99975,2019-06-20 09:48:31,"(0.0, 3.753706020817016)",0.0,39377090.0,210,0.019,9325,2019-06-20 09:05:50,205303.733333333,332800
2,3.0057166666666664,2019-06-20 10:02:17,"(0.0, 0.20241728604611642)",201570.933333333,104466740.0,735,0.019,9326,2019-06-20 09:19:33,201570.933333333,383000
3,3.0057166666666664,2019-06-20 10:02:17,"(0.0, 0.20241728604611642)",201570.933333333,104466740.0,735,0.019,9326,2019-06-20 09:19:33,201570.933333333,383000
4,3.0002833333333334,2019-06-20 10:16:35,"(0.0, 0.10853644893586334)",166078.567462521,21699400.0,855,0.024,9327,2019-06-20 09:34:38,166078.567462521,288600
5,3.0034,2019-06-20 12:09:40,"(0.0, 0.20816565824238784)",191211.766666667,71797590.0,710,0.02,9328,2019-06-20 11:27:21,191211.766666667,310300
6,2.9955833333333337,2019-06-20 12:20:44,"(0.0, 0.43296494536923474)",203535.0,120799970.0,655,0.019,9329,2019-06-20 11:38:43,203535.0,131500
7,3.0002833333333334,2019-06-20 12:29:53,"(0.00018601190476190475, 0.11908585373108943)",178985.466666667,88989370.0,900,0.022,9330,2019-06-20 11:47:47,178985.466666667,360200
8,3.0091166666666664,2019-06-20 13:44:10,"(0.0013950892857142857, 0.5905568529640762)",189892.9,52898970.0,900,0.021,9331,2019-06-20 13:02:15,189892.9,41000
9,2.500516666666667,2019-06-20 14:32:23,"(0.0, 0.20587524110512723)",187803.9,45787240.0,1005,0.021,9332,2019-06-20 13:50:24,187803.9,225700
10,3.0000166666666668,2019-06-20 14:41:56,"(0.0, 0.24497464379126385)",202319.200444198,101581150.0,300,0.019,9333,2019-06-20 13:59:17,202319.200444198,496200
11,2.5023666666666666,2019-06-20 14:53:52,"(0.0, 0.08750492162472262)",151271.4,56689170.0,1025,0.029,9334,2019-06-20 14:11:26,151271.4,368100
12,3.5119833333333332,2019-06-20 16:28:31,"(0.0, 0.4038911005280111)",203536.266666667,67788970.0,175,0.019,9335,2019-06-20 15:46:01,203536.266666667,266400
13,3.0002833333333334,2019-06-20 16:51:07,"(0.0, 0.130556752551939)",190398.8,38811220.0,315,0.02,9336,2019-06-20 16:08:17,190398.8,292600
14,4.002883333333333,2019-06-20 16:53:16,"(0.08203125, 0.36161883313112075)",201471.204886174,72820640.0,715,0.019,9337,2019-06-20 16:10:13,201471.204886174,195100
